index,station_start,station_end,length,elevation,grade,grade_deg,width,offset_left,offset_right,cross_slope,status,left_reason,right_reason
0,0.0,5.0,5.0,989.0197993259804,66.12345561722283,33.47405520353365,,,0.2,,no_edge,break_at_axis,
1,5.0,10.0,5.0,989.6776769301471,-32.70012350643381,-18.107808670451846,2.4000000000000004,1.3,1.1,-8.499755859374998,measured,,
2,10.0,15.0,5.0,989.0040211397059,-10.663681375494907,-6.086836945163282,,,0.30000000000000004,,no_edge,break_at_axis,
3,15.0,20.0,5.0,988.8501706590839,1.239875344669118,0.7103598442206993,3.4000000000000004,2.8000000000000003,0.6000000000000001,-6.101241766237744,measured,,
4,20.0,25.0,5.0,988.5844786400888,-11.278330254878394,-6.434815396520106,5.700000000000001,4.1000000000000005,1.6,6.494828535463257,measured,,
5,25.0,30.0,5.0,988.2890708773743,-6.687779491303733,-3.8261178973318977,1.8,0.8,1.0,-3.7210029468201755,measured,,
6,30.0,35.0,5.0,987.9477239870557,-6.665309716134049,-3.813300798364583,,0.30000000000000004,,,no_edge,,break_at_axis
7,35.0,40.0,5.0,987.5287296070773,-8.582774718962105,-4.905545842025105,1.2000000000000002,0.9,0.30000000000000004,-0.5657489483173075,measured,,
8,40.0,45.0,5.0,987.1712478936887,-7.779502350820136,-4.4483670148503505,3.6000000000000005,2.4000000000000004,1.2000000000000002,-6.066515412925259,measured,,
9,45.0,50.0,5.0,986.6555965647977,-16.01903854991516,-9.100912608688613,2.0,0.5,1.5,0.3247545911120131,measured,,
10,50.0,55.0,5.0,985.9253982843137,-11.290023596578056,-6.441430950193584,,,1.6,,no_edge,break_at_axis,
11,55.0,60.0,5.0,985.409277822457,-9.585082455458146,-5.4751212518900125,6.700000000000001,4.4,2.3000000000000003,-0.24779033955760668,measured,,
12,60.0,65.0,5.0,984.9646702186734,-9.78093073918269,-5.586291677729753,5.0,4.5,0.5,0.26285991409785064,measured,,
13,65.0,70.0,5.0,984.5014468922335,-9.653033088235293,-5.513697166634241,7.9,5.2,2.7,-1.3800340698070497,measured,,
14,70.0,75.0,5.0,984.0236002604166,-10.25738608243778,-5.856566871766736,6.0,1.5,4.5,-3.1204974065061477,measured,,
15,75.0,80.0,5.0,983.5860523897059,-8.33355243389423,-4.763766360316653,6.9,1.7000000000000002,5.2,-1.9847868204471388,measured,,
16,80.0,85.0,5.0,983.1769720339307,-5.742723283724546,-3.2867281565937487,7.1000000000000005,5.800000000000001,1.3,1.0943443754170286,measured,,
17,85.0,90.0,5.0,982.8600308287378,-8.333248638998866,-4.763593499107658,7.0,1.8,5.2,-0.705502546529175,measured,,
18,90.0,95.0,5.0,982.3869042490043,-9.29363267993495,-5.309607694286255,,4.6000000000000005,,,no_edge,,no_break
19,95.0,100.0,5.0,981.8341794481464,-11.586311996252824,-6.608999257778636,,6.9,,,no_edge,,no_break
20,100.0,105.0,5.0,981.2715585746017,-10.86397058823529,-6.200279826049084,3.5000000000000004,3.3000000000000003,0.2,1.7091493348817564,measured,,
21,105.0,110.0,5.0,980.8021647135416,-9.55106295072115,-5.455806335866651,10.1,0.6000000000000001,9.5,-2.991240339126404,measured,,
22,110.0,115.0,5.0,980.3187351600797,-10.204072840073525,-5.826337043693184,,3.1,,,no_edge,,no_break
23,115.0,120.0,5.0,979.9417413449755,-8.140852569994344,-4.6541015961250345,6.2,0.5,5.7,-4.356234853718139,measured,,
24,120.0,125.0,5.0,979.4007233264399,-13.565497074731331,-7.725299935036796,10.8,4.6000000000000005,6.2,-0.27754451952147624,measured,,
25,125.0,130.0,5.0,978.8178950291054,-8.980375954468322,-5.131610955356445,9.4,4.4,5.0,-2.7217296843833103,measured,,
26,130.0,135.0,5.0,978.347401338465,-7.675007953902714,-4.388851510761075,1.9,1.0,0.9,2.891047198073308,measured,,
27,135.0,140.0,5.0,977.9726933498008,-7.117124531603504,-4.070947652950037,4.2,3.9000000000000004,0.30000000000000004,-4.966788837752,measured,,
28,140.0,145.0,5.0,977.4675496419271,-14.258298571832576,-8.114707877617573,3.2,0.30000000000000004,2.9000000000000004,3.0054306601458047,measured,,
29,145.0,150.0,5.0,976.8404385435815,-10.162905869980202,-5.802992201670901,5.9,5.1000000000000005,0.8,-0.538321937842977,measured,,
30,150.0,155.0,5.0,976.4478029737286,-12.322622445913458,-7.024928284272322,4.5,3.8000000000000003,0.7000000000000001,-3.2491857462226332,measured,,
31,155.0,160.0,5.0,975.9673330269608,-8.073956934035632,-4.616023508738542,9.5,6.2,3.3000000000000003,-1.3881089308309735,measured,,
32,160.0,165.0,5.0,975.5744557100184,-7.9736383360435505,-4.558912876526682,8.5,5.6000000000000005,2.9000000000000004,-1.2982012758930253,measured,,
33,165.0,170.0,5.0,975.0842201382507,-8.207096427813914,-4.691804621040678,4.800000000000001,1.1,3.7,-0.03125249123086727,measured,,
34,170.0,175.0,5.0,974.6653286803003,-12.304146192731896,-7.014500279827564,3.6000000000000005,2.3000000000000003,1.3,-0.39920291385135126,measured,,
35,175.0,180.0,5.0,974.3751280541513,-0.9458736920248866,-0.5419295437097084,9.200000000000001,5.800000000000001,3.4000000000000004,-1.7519626979993506,measured,,
36,180.0,185.0,5.0,974.3003276750153,-1.8951056985294104,-1.0856856230428702,9.5,5.7,3.8000000000000003,-0.4347181811775128,measured,,
37,185.0,190.0,5.0,974.1978675991882,-1.5810756769654974,-0.9058141603564152,8.600000000000001,5.7,2.9000000000000004,0.16840621682378618,measured,,
38,190.0,195.0,5.0,974.2040656594669,0.4602934548218324,0.26372686047082416,3.6000000000000005,2.8000000000000003,0.8,-1.8691112216245847,measured,,
39,195.0,200.0,5.0,974.146826650582,-2.764638495121605,-1.5836177937427685,7.7,6.4,1.3,-1.204145161355654,measured,,
40,200.0,205.0,5.0,974.1615062040441,-0.027264210972850787,-0.015621241817924519,2.6,1.3,1.3,-1.5364613142933452,measured,,
41,205.0,210.0,5.0,974.0202995749081,-7.759429793552035,-4.436935293862799,3.3000000000000003,2.7,0.6000000000000001,3.271624256947097,measured,,
42,210.0,215.0,5.0,973.7188062480851,-5.927717804369341,-3.3923624967338033,2.0,1.8,0.2,1.4136376318993507,measured,,
43,215.0,220.0,5.0,973.6222486308976,3.623361716982464,2.075125531220715,3.7,3.2,0.5,4.143211196947833,measured,,
44,220.0,225.0,5.0,973.6130179610907,-5.094010711255653,-2.916132536416503,,2.2,,,no_edge,,break_at_axis
45,225.0,230.0,5.0,973.4470873066024,-3.4403004365808822,-1.9703698432087733,1.7,1.5,0.2,-0.5963052881514447,measured,,
46,230.0,235.0,5.0,973.2176142673867,-6.05941012973699,-3.467546548169623,3.3,0.30000000000000004,3.0,3.3882858008260115,measured,,
47,235.0,240.0,5.0,972.6656159045649,-12.266227066247168,-6.993097247958042,3.9000000000000004,3.7,0.2,-0.38851797021575984,measured,,
48,240.0,245.0,5.0,972.0947648590686,-12.085408344527709,-6.891009238256869,,,1.9000000000000001,,no_edge,break_at_axis,
49,245.0,245.7061835083503,0.706183508350307,971.8401936293102,-2.4832053849572078,-1.422479548670278,,0.1,,,no_edge,,break_at_axis

