index,station_start,station_end,length,elevation,grade_pct,grade_deg,width,offset_left,offset_right,cross_slope_pct,status,left_reason,right_reason,left_edge_source,right_edge_source,width_min,width_max,width_sections,width_measured_sections
0,0.000,4.000,4.000,4186.713,8.012,4.581,10.100,4.900,5.200,-2.306,measured,,,measured,measured,7.700,14.000,8,8
1,4.000,8.000,4.000,4187.046,10.512,6.001,13.000,4.700,8.300,-6.184,measured,,,measured,measured,9.100,13.900,8,8
2,8.000,12.000,4.000,4187.393,6.720,3.845,8.800,5.600,3.200,3.272,measured,,,measured,measured,8.200,12.400,8,8
3,12.000,16.000,4.000,4187.654,7.378,4.220,8.600,4.400,4.200,-0.451,measured,,,measured,measured,8.100,12.100,8,8
4,16.000,20.000,4.000,4187.981,9.272,5.297,9.200,4.400,4.800,-2.215,measured,,,measured,measured,8.000,12.800,8,8
5,20.000,24.000,4.000,4188.372,6.736,3.854,9.200,5.000,4.200,-1.382,measured,,,measured,measured,6.300,10.300,8,8
6,24.000,28.000,4.000,4188.704,9.276,5.300,9.400,4.600,4.800,-3.725,measured,,,measured,measured,8.300,11.600,8,8
7,28.000,32.000,4.000,4189.063,9.299,5.313,8.100,3.600,4.500,-2.284,measured,,,measured,measured,7.600,9.700,8,8
8,32.000,36.000,4.000,4189.421,8.216,4.697,8.300,4.300,4.000,0.203,measured,,,measured,measured,7.500,12.900,8,8
9,36.000,40.000,4.000,4189.800,12.410,7.074,8.900,4.000,4.900,-4.082,measured,,,measured,measured,8.000,17.000,8,8
10,40.000,44.000,4.000,4190.178,4.704,2.693,9.900,5.800,4.100,0.410,measured,,,measured,measured,8.400,13.700,8,8
11,44.000,48.000,4.000,4190.450,10.964,6.257,9.800,6.300,3.500,1.983,measured,,,measured,measured,8.200,14.300,8,8
12,48.000,52.000,4.000,4190.993,15.689,8.917,11.400,6.300,5.100,-1.152,measured,,,measured,measured,10.000,17.800,8,8
13,52.000,56.000,4.000,4191.552,13.533,7.707,13.600,7.100,6.500,-0.166,measured,,,measured,measured,12.000,18.400,8,8
14,56.000,60.000,4.000,4192.032,8.712,4.979,16.300,8.800,7.500,2.482,measured,,,measured,measured,15.300,18.800,8,8
15,60.000,64.000,4.000,4192.380,9.848,5.624,14.700,7.500,7.200,2.061,measured,,,measured,measured,13.100,18.100,8,8
16,64.000,68.000,4.000,4192.765,10.522,6.006,15.500,8.600,6.900,2.603,measured,,,measured,measured,14.200,22.000,8,8
17,68.000,68.907,0.907,4193.066,16.162,9.181,14.400,7.200,7.200,0.390,measured,,,measured,measured,14.400,15.900,2,2
# analisis: okok
# eje: 301e97d1-4876-4628-a07b-29c36b070f6c (annotation), longitud en planta 68.907 m
# modelo: dtm / original
# break_threshold: 25.0
# coherence_window: 0
# cross_section_spacing: 0.5
# edge_mode: break
# min_consecutive_samples: 3
# sample_step: 0.1
# search_half_width: 20.0
# segment_length: 4.0
# smooth_window: 2.0
# surface_tolerance: 0.06
# width_aggregation: median
# unidades: distancias en m, pendientes en %, grade_deg en grados
# las celdas vacias son metricas que no se pudieron medir, no ceros
