index,station_start,station_end,length,elevation,grade_pct,grade_deg,width,offset_left,offset_right,cross_slope_pct,status,left_reason,right_reason,left_edge_source,right_edge_source,width_min,width_max,width_sections,width_measured_sections
0,0.000,5.000,5.000,588.361,0.901,0.516,6.100,3.100,3.000,1.141,measured,,,measured,measured,,,,
1,5.000,10.000,5.000,588.450,4.150,2.376,2.400,1.600,0.800,-2.962,measured,,,measured,measured,,,,
2,10.000,15.000,5.000,588.505,2.302,1.319,6.500,4.200,2.300,-1.935,measured,,,measured,measured,,,,
3,15.000,20.000,5.000,588.569,-0.355,-0.203,3.800,1.700,2.100,3.294,measured,,,measured,measured,,,,
4,20.000,25.000,5.000,588.691,4.667,2.672,9.700,3.900,5.800,1.514,measured,,,measured,measured,,,,
5,25.000,30.000,5.000,588.786,0.485,0.278,3.800,0.700,3.100,2.568,measured,,,measured,measured,,,,
6,30.000,35.000,5.000,588.837,1.660,0.951,1.700,0.700,1.000,-3.094,measured,,,measured,measured,,,,
7,35.000,40.000,5.000,588.860,-0.609,-0.349,9.400,8.400,1.000,1.871,measured,,,measured,measured,,,,
8,40.000,45.000,5.000,588.903,1.922,1.101,2.300,1.500,0.800,2.767,measured,,,measured,measured,,,,
9,45.000,50.000,5.000,589.019,2.351,1.347,,,3.300,,no_edge,break_at_axis,,,measured,,,,
10,50.000,55.000,5.000,589.071,-2.187,-1.253,24.800,23.600,1.200,2.913,measured,,,measured,measured,,,,
11,55.000,60.000,5.000,589.101,1.907,1.093,9.800,8.600,1.200,3.489,measured,,,measured,measured,,,,
12,60.000,65.000,5.000,589.171,1.718,0.984,2.900,0.700,2.200,-0.473,measured,,,measured,measured,,,,
13,65.000,70.000,5.000,589.272,0.772,0.442,3.400,2.400,1.000,0.577,measured,,,measured,measured,,,,
14,70.000,75.000,5.000,589.341,1.928,1.104,1.800,0.700,1.100,1.258,measured,,,measured,measured,,,,
15,75.000,80.000,5.000,589.468,3.707,2.123,2.400,1.900,0.500,-3.651,measured,,,measured,measured,,,,
16,80.000,85.000,5.000,589.606,-3.032,-1.736,5.300,5.100,0.200,3.918,measured,,,measured,measured,,,,
17,85.000,90.000,5.000,589.595,-0.063,-0.036,12.500,5.400,7.100,1.348,measured,,,measured,measured,,,,
18,90.000,95.000,5.000,589.610,2.598,1.488,4.500,3.200,1.300,3.024,measured,,,measured,measured,,,,
19,95.000,100.000,5.000,589.694,3.428,1.963,1.600,0.500,1.100,1.038,measured,,,measured,measured,,,,
20,100.000,105.000,5.000,589.828,0.654,0.375,1.300,0.700,0.600,9.004,measured,,,measured,measured,,,,
