index,station_start,station_end,length,elevation,grade_pct,grade_deg,width,offset_left,offset_right,cross_slope_pct,status,left_reason,right_reason,left_edge_source,right_edge_source,width_min,width_max,width_sections,width_measured_sections
0,0.000,5.000,5.000,514.018,-0.639,-0.366,7.200,3.700,3.500,2.139,measured,,,measured,measured,7.000,7.500,5,5
1,5.000,10.000,5.000,514.006,-0.253,-0.145,8.500,3.300,5.200,-0.821,measured,,,measured,measured,8.400,8.900,5,5
2,10.000,15.000,5.000,514.002,-0.229,-0.131,8.900,3.700,5.200,1.324,measured,,,measured,measured,8.100,9.500,5,5
3,15.000,20.000,5.000,513.991,-0.767,-0.439,9.300,4.000,5.300,1.216,measured,,,measured,measured,9.100,9.300,5,5
4,20.000,25.000,5.000,513.983,0.537,0.308,9.500,4.100,5.400,0.521,measured,,,measured,measured,8.900,9.900,5,5
5,25.000,30.000,5.000,513.992,-0.946,-0.542,10.200,4.000,6.200,0.063,measured,,,measured,measured,9.900,10.400,5,5
6,30.000,35.000,5.000,513.984,0.723,0.414,8.600,4.200,4.400,2.411,measured,,,measured,measured,7.400,9.700,5,5
7,35.000,40.000,5.000,513.997,-0.093,-0.053,7.100,4.200,2.900,4.175,measured,,,measured,measured,7.000,7.300,5,5
8,40.000,45.000,5.000,514.003,0.933,0.535,10.100,3.800,6.300,2.003,measured,,,measured,measured,7.400,13.700,5,5
9,45.000,50.000,5.000,514.029,-0.144,-0.082,17.500,4.000,13.500,1.401,measured,,,measured,measured,17.500,23.000,5,2
10,50.000,55.000,5.000,514.047,0.931,0.533,12.800,3.800,9.000,2.089,measured,,,measured,measured,10.200,14.000,5,5
11,55.000,60.000,5.000,514.073,-0.449,-0.257,8.900,3.700,5.200,1.786,measured,,,measured,measured,7.400,9.600,5,5
12,60.000,65.000,5.000,514.075,0.462,0.265,7.900,3.800,4.100,2.051,measured,,,measured,measured,7.500,8.000,5,5
13,65.000,66.053,1.053,514.099,-0.395,-0.226,7.500,3.800,3.700,3.064,measured,,,measured,measured,7.500,7.500,1,1
# analisis: Polilínea 1
# eje: 09bf4019-2118-400b-b2a1-908cd8409352 (annotation), longitud en planta 66.053 m
# modelo: dtm / original
# break_threshold: 15.0
# coherence_window: 0
# cross_section_spacing: 0.95
# edge_mode: segmentation
# min_consecutive_samples: 3
# sample_step: 0.1
# search_half_width: 20.0
# segment_length: 5.0
# smooth_window: 0.0
# surface_tolerance: 0.06
# width_aggregation: median
# unidades: distancias en m, pendientes en %, grade_deg en grados
# las celdas vacias son metricas que no se pudieron medir, no ceros
