index,station_start,station_end,length,elevation,grade_pct,grade_deg,width,offset_left,offset_right,cross_slope_pct,status,left_reason,right_reason,left_edge_source,right_edge_source,width_min,width_max,width_sections,width_measured_sections
0,0.000,5.000,5.000,988.608,50.068,26.596,2.800,1.800,1.000,-21.191,measured,,,measured,measured,,,,
1,5.000,10.000,5.000,989.373,-16.613,-9.432,7.300,3.900,3.400,5.950,measured,,,measured,measured,,,,
2,10.000,15.000,5.000,989.006,-13.571,-7.729,15.000,9.800,5.200,8.041,measured,,,measured,measured,,,,
3,15.000,20.000,5.000,988.780,0.661,0.379,6.200,3.100,3.100,-0.072,measured,,,measured,measured,,,,
4,20.000,25.000,5.000,988.513,-7.860,-4.494,11.200,4.000,7.200,-0.739,measured,,,measured,measured,,,,
5,25.000,30.000,5.000,988.200,-12.661,-7.216,7.900,3.500,4.400,-1.040,measured,,,measured,measured,,,,
6,30.000,35.000,5.000,987.683,-8.545,-4.884,17.100,1.000,16.100,-0.120,measured,,,measured,measured,,,,
7,35.000,40.000,5.000,987.473,-6.263,-3.584,11.500,6.200,5.300,1.440,measured,,,measured,measured,,,,
8,40.000,45.000,5.000,987.022,-5.655,-3.237,29.300,4.400,24.900,0.019,measured,,,measured,measured,,,,
9,45.000,50.000,5.000,986.619,-15.415,-8.763,23.300,0.100,23.200,0.865,measured,,,measured,measured,,,,
10,50.000,55.000,5.000,985.923,-10.369,-5.920,12.600,4.900,7.700,-1.369,measured,,,measured,measured,,,,
11,55.000,60.000,5.000,985.416,-11.672,-6.657,7.400,5.100,2.300,1.231,measured,,,measured,measured,,,,
12,60.000,65.000,5.000,984.949,-8.531,-4.876,31.600,6.300,25.300,-0.371,measured,,,measured,measured,,,,
13,65.000,70.000,5.000,984.489,-10.249,-5.852,16.500,8.600,7.900,-3.042,measured,,,measured,measured,,,,
14,70.000,75.000,5.000,983.932,-13.091,-7.458,17.400,8.300,9.100,-4.286,measured,,,measured,measured,,,,
15,75.000,80.000,5.000,983.553,-7.357,-4.208,28.600,7.200,21.400,-1.308,measured,,,measured,measured,,,,
16,80.000,85.000,5.000,983.194,-7.013,-4.012,29.300,7.700,21.600,-2.141,measured,,,measured,measured,,,,
17,85.000,90.000,5.000,982.871,-7.452,-4.262,27.000,6.700,20.300,-0.824,measured,,,measured,measured,,,,
18,90.000,95.000,5.000,982.362,-10.104,-5.770,21.300,6.000,15.300,0.601,measured,,,measured,measured,,,,
19,95.000,100.000,5.000,981.843,-12.035,-6.863,26.600,7.000,19.600,0.299,measured,,,measured,measured,,,,
20,100.000,105.000,5.000,981.307,-10.731,-6.125,23.200,6.900,16.300,0.242,measured,,,measured,measured,,,,
21,105.000,110.000,5.000,980.782,-8.632,-4.933,32.700,12.200,20.500,-4.537,measured,,,measured,measured,,,,
22,110.000,115.000,5.000,980.313,-9.787,-5.589,23.300,9.100,14.200,-5.224,measured,,,measured,measured,,,,
23,115.000,120.000,5.000,979.919,-9.067,-5.181,12.800,6.200,6.600,-4.710,measured,,,measured,measured,,,,
24,120.000,125.000,5.000,979.346,-14.474,-8.236,10.800,6.500,4.300,1.042,measured,,,measured,measured,,,,
25,125.000,130.000,5.000,978.774,-9.447,-5.397,9.500,4.400,5.100,-3.211,measured,,,measured,measured,,,,
26,130.000,135.000,5.000,978.321,-7.932,-4.535,10.700,5.300,5.400,-3.753,measured,,,measured,measured,,,,
27,135.000,140.000,5.000,977.941,-6.936,-3.968,8.400,4.700,3.700,-1.592,measured,,,measured,measured,,,,
28,140.000,145.000,5.000,977.420,-12.472,-7.109,8.600,5.000,3.600,-1.127,measured,,,measured,measured,,,,
29,145.000,150.000,5.000,976.851,-10.277,-5.867,9.400,5.800,3.600,-2.538,measured,,,measured,measured,,,,
30,150.000,155.000,5.000,976.399,-11.046,-6.303,18.900,14.700,4.200,-0.603,measured,,,measured,measured,,,,
31,155.000,160.000,5.000,975.931,-9.261,-5.291,10.600,6.300,4.300,-2.570,measured,,,measured,measured,,,,
32,160.000,165.000,5.000,975.386,-13.756,-7.832,8.500,6.100,2.400,4.000,measured,,,measured,measured,,,,
33,165.000,170.000,5.000,974.925,-13.297,-7.574,24.300,19.400,4.900,-2.612,measured,,,measured,measured,,,,
34,170.000,175.000,5.000,974.333,-12.970,-7.390,,,4.500,,no_edge,break_at_axis,,,measured,,,,
35,175.000,180.000,5.000,973.878,0.722,0.414,4.000,3.600,0.400,1.929,measured,,,measured,measured,,,,
36,180.000,185.000,5.000,973.785,-1.086,-0.622,1.400,0.400,1.000,10.102,measured,,,measured,measured,,,,
